2024-05-09 19:19:32 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2024-05-09 19:19:33 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2024-05-09 19:19:33 install libdebconfclient0:amd64 <none> 0.270
2024-05-09 19:19:33 status half-installed libdebconfclient0:amd64 0.270
2024-05-09 19:19:34 status unpacked libdebconfclient0:amd64 0.270
2024-05-09 19:19:34 install libext2fs2:amd64 <none> 1.47.0-2
2024-05-09 19:19:34 status half-installed libext2fs2:amd64 1.47.0-2
2024-05-09 19:19:34 status unpacked libext2fs2:amd64 1.47.0-2
2024-05-09 19:19:35 install libffi8:amd64 <none> 3.4.4-1
2024-05-09 19:19:35 status half-installed libffi8:amd64 3.4.4-1
2024-05-09 19:19:35 status unpacked libffi8:amd64 3.4.4-1
2024-05-09 19:19:35 install libfile-find-rule-perl:all <none> 0.34-3
2024-05-09 19:19:35 status half-installed libfile-find-rule-perl:all 0.34-3
2024-05-09 19:19:35 status unpacked libfile-find-rule-perl:all 0.34-3
2024-05-09 19:19:36 install libgcc-s1:amd64 <none> 12.2.0-14
2024-05-09 19:19:36 status half-installed libgcc-s1:amd64 12.2.0-14
2024-05-09 19:19:36 status unpacked libgcc-s1:amd64 12.2.0-14
2024-05-09 19:19:37 install libgcrypt20:amd64 <none> 1.10.1-3
2024-05-09 19:19:37 status half-installed libgcrypt20:amd64 1.10.1-3
2024-05-09 19:19:37 status unpacked libgcrypt20:amd64 1.10.1-3
2024-05-09 19:19:38 install libgdbm-compat4:amd64 <none> 1.23-3
2024-05-09 19:19:38 status half-installed libgdbm-compat4:amd64 1.23-3
2024-05-09 19:19:38 status unpacked libgdbm-compat4:amd64 1.23-3
2024-05-09 19:19:39 install libgdbm6:amd64 <none> 1.23-3
2024-05-09 19:19:39 status half-installed libgdbm6:amd64 1.23-3
2024-05-09 19:19:41 status unpacked libgdbm6:amd64 1.23-3
2024-05-09 19:19:43 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2024-05-09 19:19:43 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-05-09 19:19:45 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-05-09 19:19:46 install libgnutls30:amd64 <none> 3.7.9-2+deb12u2
2024-05-09 19:19:46 status half-installed libgnutls30:amd64 3.7.9-2+deb12u2
2024-05-09 19:19:47 status unpacked libgnutls30:amd64 3.7.9-2+deb12u2
2024-05-09 19:19:47 install libgpg-error0:amd64 <none> 1.46-1
2024-05-09 19:19:47 status half-installed libgpg-error0:amd64 1.46-1
2024-05-09 19:19:48 status unpacked libgpg-error0:amd64 1.46-1
2024-05-09 19:19:48 install libhogweed6:amd64 <none> 3.8.1-2
2024-05-09 19:19:48 status half-installed libhogweed6:amd64 3.8.1-2
2024-05-09 19:19:48 status unpacked libhogweed6:amd64 3.8.1-2
2024-05-09 19:19:49 install libidn2-0:amd64 <none> 2.3.3-1+b1
2024-05-09 19:19:49 status half-installed libidn2-0:amd64 2.3.3-1+b1
2024-05-09 19:19:49 status unpacked libidn2-0:amd64 2.3.3-1+b1
2024-05-09 19:19:49 install liblz4-1:amd64 <none> 1.9.4-1
2024-05-09 19:19:49 status half-installed liblz4-1:amd64 1.9.4-1
2024-05-09 19:19:50 status unpacked liblz4-1:amd64 1.9.4-1
2024-05-09 19:19:50 install liblzma5:amd64 <none> 5.4.1-0.2
2024-05-09 19:19:50 status half-installed liblzma5:amd64 5.4.1-0.2
2024-05-09 19:19:50 status unpacked liblzma5:amd64 5.4.1-0.2
2024-05-09 19:19:51 install libmd0:amd64 <none> 1.0.4-2
2024-05-09 19:19:51 status half-installed libmd0:amd64 1.0.4-2
2024-05-09 19:19:51 status unpacked libmd0:amd64 1.0.4-2
2024-05-09 19:19:52 install libmount1:amd64 <none> 2.38.1-5+b1
2024-05-09 19:19:52 status half-installed libmount1:amd64 2.38.1-5+b1
2024-05-09 19:19:52 status unpacked libmount1:amd64 2.38.1-5+b1
2024-05-09 19:19:53 install libnettle8:amd64 <none> 3.8.1-2
2024-05-09 19:19:53 status half-installed libnettle8:amd64 3.8.1-2
2024-05-09 19:19:53 status unpacked libnettle8:amd64 3.8.1-2
2024-05-09 19:19:53 install libnumber-compare-perl:all <none> 0.03-3
2024-05-09 19:19:53 status half-installed libnumber-compare-perl:all 0.03-3
2024-05-09 19:19:53 status unpacked libnumber-compare-perl:all 0.03-3
2024-05-09 19:19:54 install libp11-kit0:amd64 <none> 0.24.1-2
2024-05-09 19:19:54 status half-installed libp11-kit0:amd64 0.24.1-2
2024-05-09 19:19:54 status unpacked libp11-kit0:amd64 0.24.1-2
2024-05-09 19:19:55 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2024-05-09 19:19:55 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2024-05-09 19:19:55 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2024-05-09 19:19:56 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2024-05-09 19:19:56 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-05-09 19:19:56 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-05-09 19:19:58 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2024-05-09 19:19:58 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
