2024-05-11 14:54:36 status half-installed libidn2-0:amd64 2.3.3-1+b1
2024-05-11 14:54:36 status unpacked libidn2-0:amd64 2.3.3-1+b1
2024-05-11 14:54:36 install liblz4-1:amd64 <none> 1.9.4-1
2024-05-11 14:54:36 status half-installed liblz4-1:amd64 1.9.4-1
2024-05-11 14:54:36 status unpacked liblz4-1:amd64 1.9.4-1
2024-05-11 14:54:37 install liblzma5:amd64 <none> 5.4.1-0.2
2024-05-11 14:54:37 status half-installed liblzma5:amd64 5.4.1-0.2
2024-05-11 14:54:37 status unpacked liblzma5:amd64 5.4.1-0.2
2024-05-11 14:54:37 install libmd0:amd64 <none> 1.0.4-2
2024-05-11 14:54:37 status half-installed libmd0:amd64 1.0.4-2
2024-05-11 14:54:37 status unpacked libmd0:amd64 1.0.4-2
2024-05-11 14:54:38 install libmount1:amd64 <none> 2.38.1-5+b1
2024-05-11 14:54:38 status half-installed libmount1:amd64 2.38.1-5+b1
2024-05-11 14:54:38 status unpacked libmount1:amd64 2.38.1-5+b1
2024-05-11 14:54:38 install libnettle8:amd64 <none> 3.8.1-2
2024-05-11 14:54:38 status half-installed libnettle8:amd64 3.8.1-2
2024-05-11 14:54:39 status unpacked libnettle8:amd64 3.8.1-2
2024-05-11 14:54:39 install libnumber-compare-perl:all <none> 0.03-3
2024-05-11 14:54:39 status half-installed libnumber-compare-perl:all 0.03-3
2024-05-11 14:54:39 status unpacked libnumber-compare-perl:all 0.03-3
2024-05-11 14:54:39 install libp11-kit0:amd64 <none> 0.24.1-2
2024-05-11 14:54:39 status half-installed libp11-kit0:amd64 0.24.1-2
2024-05-11 14:54:40 status unpacked libp11-kit0:amd64 0.24.1-2
2024-05-11 14:54:40 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2024-05-11 14:54:40 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2024-05-11 14:54:40 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2024-05-11 14:54:41 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2024-05-11 14:54:41 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-05-11 14:54:41 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-05-11 14:54:41 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2024-05-11 14:54:41 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2024-05-11 14:54:42 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2024-05-11 14:54:42 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2024-05-11 14:54:42 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2024-05-11 14:54:42 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2024-05-11 14:54:42 install libpcre2-8-0:amd64 <none> 10.42-1
2024-05-11 14:54:42 status half-installed libpcre2-8-0:amd64 10.42-1
2024-05-11 14:54:43 status unpacked libpcre2-8-0:amd64 10.42-1
2024-05-11 14:54:43 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-05-11 14:54:43 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-05-11 14:54:46 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-05-11 14:54:46 install libseccomp2:amd64 <none> 2.5.4-1+b3
2024-05-11 14:54:46 status half-installed libseccomp2:amd64 2.5.4-1+b3
2024-05-11 14:54:46 status unpacked libseccomp2:amd64 2.5.4-1+b3
2024-05-11 14:54:47 install libselinux1:amd64 <none> 3.4-1+b6
2024-05-11 14:54:47 status half-installed libselinux1:amd64 3.4-1+b6
2024-05-11 14:54:47 status unpacked libselinux1:amd64 3.4-1+b6
2024-05-11 14:54:47 install libsemanage-common:all <none> 3.4-1
2024-05-11 14:54:47 status half-installed libsemanage-common:all 3.4-1
2024-05-11 14:54:47 status unpacked libsemanage-common:all 3.4-1
2024-05-11 14:54:48 install libsemanage2:amd64 <none> 3.4-1+b5
2024-05-11 14:54:48 status half-installed libsemanage2:amd64 3.4-1+b5
2024-05-11 14:54:48 status unpacked libsemanage2:amd64 3.4-1+b5
2024-05-11 14:54:48 install libsepol2:amd64 <none> 3.4-2.1
2024-05-11 14:54:48 status half-installed libsepol2:amd64 3.4-2.1
2024-05-11 14:54:49 status unpacked libsepol2:amd64 3.4-2.1
2024-05-11 14:54:49 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2024-05-11 14:54:49 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2024-05-11 14:54:49 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2024-05-11 14:54:49 install libss2:amd64 <none> 1.47.0-2
2024-05-11 14:54:49 status half-installed libss2:amd64 1.47.0-2
2024-05-11 14:54:50 status unpacked libss2:amd64 1.47.0-2
2024-05-11 14:54:50 install libstdc++6:amd64 <none> 12.2.0-14
2024-05-11 14:54:50 status half-installed libstdc++6:amd64 12.2.0-14
2024-05-11 14:54:50 status unpacked libstdc++6:amd64 12.2.0-14
2024-05-11 14:54:51 install libsystemd0:amd64 <none> 252.22-1~deb12u1
2024-05-11 14:54:51 status half-installed libsystemd0:amd64 252.22-1~deb12u1
2024-05-11 14:54:51 status unpacked libsystemd0:amd64 252.22-1~deb12u1
2024-05-11 14:54:51 install libtasn1-6:amd64 <none> 4.19.0-2
2024-05-11 14:54:51 status half-installed libtasn1-6:amd64 4.19.0-2
2024-05-11 14:54:51 status unpacked libtasn1-6:amd64 4.19.0-2
2024-05-11 14:54:52 install libtext-glob-perl:all <none> 0.11-3
2024-05-11 14:54:52 status half-installed libtext-glob-perl:all 0.11-3
2024-05-11 14:54:52 status unpacked libtext-glob-perl:all 0.11-3
2024-05-11 14:54:52 install libtinfo6:amd64 <none> 6.4-4
