2024-05-12 13:50:06 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-12 13:50:06 status half-installed libc6:amd64 2.36-9+deb12u4
2024-05-12 13:50:07 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-12 13:50:07 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2024-05-12 13:50:07 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2024-05-12 13:50:07 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2024-05-12 13:50:08 install libcap2:amd64 <none> 1:2.66-4
2024-05-12 13:50:08 status half-installed libcap2:amd64 1:2.66-4
2024-05-12 13:50:08 status unpacked libcap2:amd64 1:2.66-4
2024-05-12 13:50:12 install libcom-err2:amd64 <none> 1.47.0-2
2024-05-12 13:50:12 status half-installed libcom-err2:amd64 1.47.0-2
2024-05-12 13:50:12 status unpacked libcom-err2:amd64 1.47.0-2
2024-05-12 13:50:12 install libcrypt1:amd64 <none> 1:4.4.33-2
2024-05-12 13:50:12 status half-installed libcrypt1:amd64 1:4.4.33-2
2024-05-12 13:50:13 status unpacked libcrypt1:amd64 1:4.4.33-2
2024-05-12 13:50:13 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2024-05-12 13:50:13 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2024-05-12 13:50:13 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2024-05-12 13:50:13 install libdebconfclient0:amd64 <none> 0.270
2024-05-12 13:50:13 status half-installed libdebconfclient0:amd64 0.270
2024-05-12 13:50:14 status unpacked libdebconfclient0:amd64 0.270
2024-05-12 13:50:14 install libext2fs2:amd64 <none> 1.47.0-2
2024-05-12 13:50:14 status half-installed libext2fs2:amd64 1.47.0-2
2024-05-12 13:50:14 status unpacked libext2fs2:amd64 1.47.0-2
2024-05-12 13:50:15 install libffi8:amd64 <none> 3.4.4-1
2024-05-12 13:50:15 status half-installed libffi8:amd64 3.4.4-1
2024-05-12 13:50:15 status unpacked libffi8:amd64 3.4.4-1
2024-05-12 13:50:15 install libfile-find-rule-perl:all <none> 0.34-3
2024-05-12 13:50:15 status half-installed libfile-find-rule-perl:all 0.34-3
2024-05-12 13:50:15 status unpacked libfile-find-rule-perl:all 0.34-3
2024-05-12 13:50:15 install libgcc-s1:amd64 <none> 12.2.0-14
2024-05-12 13:50:15 status half-installed libgcc-s1:amd64 12.2.0-14
2024-05-12 13:50:16 status unpacked libgcc-s1:amd64 12.2.0-14
2024-05-12 13:50:16 install libgcrypt20:amd64 <none> 1.10.1-3
2024-05-12 13:50:16 status half-installed libgcrypt20:amd64 1.10.1-3
2024-05-12 13:50:16 status unpacked libgcrypt20:amd64 1.10.1-3
2024-05-12 13:50:17 install libgdbm-compat4:amd64 <none> 1.23-3
2024-05-12 13:50:17 status half-installed libgdbm-compat4:amd64 1.23-3
